,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
10,False,/isH5BjYSpAZrNbrDFBfqYWouqfY.jpg,,86000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",,9992,tt0344854,['FR'],fr,Arthur et les Minimoys,"Arthur is a spirited ten-year old whose parents are away looking for work, whose eccentric grandfather has been missing for several years, and who lives with his grandmother in a country house that, in two days, will be repossessed, torn down, and turned into a block of flats unless Arthur's grandfather returns to sign some papers and pay off the family debt. Arthur discovers that the key to success lies in his own descent into the land of the Minimoys, creatures no larger than a tooth, whom his grandfather helped relocate to their garden. Somewhere among them is hidden a pile of rubies, too. Can Arthur be of stout heart and save the day? Romance beckons as well, and a villain lurks.",24.383,/gH27K0S7BiZCsNMxzOQTacG9IZp.jpg,"[{'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}, {'id': 854, 'logo_path': None, 'name': 'Sofica EuropaCorp', 'origin_country': 'FR'}, {'id': 2525, 'logo_path': None, 'name': 'Avalanche Productions', 'origin_country': 'FR'}, {'id': 6896, 'logo_path': '/2Q89KvzxTKB5BAv9RqFIPI1qb7E.png', 'name': 'EuropaCorp', 'origin_country': 'FR'}, {'id': 184865, 'logo_path': None, 'name': 'Metro Voices', 'origin_country': 'GB'}, {'id': 308, 'logo_path': '/e8F3mQM7DkJ5SfYYDp8FYzPBOGX.png', 'name': 'The Weinstein Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-12-13,108605609,94,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Adventure awaits in your own backyard.,Arthur and the Invisibles,False,6.4,2862,85817.0,Arthur and the Invisibles Collection,/2zhBMVy8E5fMnixTQUFVHcVncv6.jpg,/thlPz3RDvOkoXHLiG2aZ2xbgRhf.jpg
11,False,/aFmoJntgDPR0Jd8XD1ZfFSmcqMg.jpg,,6800000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 9648, 'name': 'Mystery'}]",http://www.sonyclassics.com/incendies/,46738,tt1255953,['CA'],fr,Incendies,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.",22.919,/yDNrRBVewTdwyCxcg4ULuyHfHot.jpg,"[{'id': 313, 'logo_path': '/rx5CT9wUnEz0AcdpcX9epujv7nw.png', 'name': 'TS Productions', 'origin_country': 'FR'}, {'id': 7273, 'logo_path': None, 'name': 'Phi Group', 'origin_country': ''}, {'id': 7029, 'logo_path': '/i49Jb3md21vxSOY3bBXRvCRXYKX.png', 'name': 'micro_scope', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2010-09-17,6788659,131,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The search began at the opening of their mother's will.,Incendies,False,8.1,2730,,,,
12,False,/dIHezuC3AmylT8mkXQiWSjz2wJR.jpg,,4900000,"[{'id': 18, 'name': 'Drama'}]",http://mommythemovie.com/,265177,tt3612616,['CA'],fr,Mommy,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",13.921,/3zyQtPg3avKprmJP2gBiYgyWUQC.jpg,"[{'id': 13839, 'logo_path': '/125UdB9wgDkY2RNpjgCiKyk3Dll.png', 'name': 'Metafilms', 'origin_country': 'CA'}, {'id': 50488, 'logo_path': None, 'name': 'Sons of Manual', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2014-09-19,3494070,138,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Loving people doesn't save them.,Mommy,False,8.2,2707,,,,
13,False,/n8zvKDOUy4JwIzQArjoVBhVaPDp.jpg,,6500000,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,9539,tt1029234,['CA'],fr,Martyrs,"A young woman’s quest for revenge against the people who kidnapped and tortured her as a child leads her and her best friend, also a victim of child abuse, on a terrifying journey into a living hell of depravity.",31.561,/5yfPA9lXqONtLMgZks87ECob1A5.jpg,"[{'id': 856, 'logo_path': '/3tfzS2CrX6Ntbu927XzHXEPDA6y.png', 'name': 'Wild Bunch', 'origin_country': 'FR'}, {'id': 2578, 'logo_path': None, 'name': 'TCB Films', 'origin_country': 'CA'}, {'id': 616, 'logo_path': '/aeBPwUMUqIOFnt3Fxv9fC91hBuq.png', 'name': 'Eskwad', 'origin_country': 'FR'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2008-06-12,1100000,99,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,They haven't finished being alive.,Martyrs,False,7.3,2690,,,,
14,False,/foFq1RZWQIgFuCQ0nyYccywjFyX.jpg,,5740000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 36, 'name': 'History'}]",https://mk2films.com/en/film/portrait-of-a-lady-on-fire/,531428,tt8613070,['FR'],fr,Portrait de la jeune fille en feu,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",27.804,/2LquGwEhbg3soxSCs9VNyh5VJd9.jpg,"[{'id': 43649, 'logo_path': '/5pv3tUlq25IiuMuok57YBZIiKn.png', 'name': 'Lilies Films', 'origin_country': 'FR'}, {'id': 94, 'logo_path': '/huC7HqorvUThGIrENrbcHmQVUA0.png', 'name': 'ARTE France Cinéma', 'origin_country': 'FR'}, {'id': 7980, 'logo_path': None, 'name': 'Hold Up Films', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2019-09-18,9923127,121,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,Don't regret. Remember.,Portrait of a Lady on Fire,False,8.1,2538,,,,
15,False,/hoszursvZR1C054sTXVQBcBDory.jpg,,3000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,292431,tt3774694,"['BE', 'FR']",fr,Love,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the seismic effect it will have on their relationship, they invite their pretty neighbor into their bed.",20.415,/jx5rG229bzPzBgCXGslje75Y85x.jpg,"[{'id': 856, 'logo_path': '/3tfzS2CrX6Ntbu927XzHXEPDA6y.png', 'name': 'Wild Bunch', 'origin_country': 'FR'}, {'id': 1157, 'logo_path': '/2MXuq4DGo1GhjavHHxPlsWrtyD.png', 'name': 'Les Cinémas de la Zone', 'origin_country': 'FR'}, {'id': 30666, 'logo_path': '/g8LmDZVFWDRJW72sj0nAj1gh8ac.png', 'name': 'RT Features', 'origin_country': 'BR'}, {'id': 2700, 'logo_path': '/h3bdysr6aNtFqK7DXQu1Rh43rwk.png', 'name': 'Rectangle Productions', 'origin_country': 'FR'}, {'id': 11199, 'logo_path': '/ursSXLOZaDxiZ84sEgfXbiFnYaa.png', 'name': 'SCOPE Pictures', 'origin_country': 'BE'}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2015-05-25,249083,134,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Love,False,6.437,2459,,,,
16,False,/nmGgqRzbb0OHJloknzlorUzUVQo.jpg,,8700000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 12, 'name': 'Adventure'}]",,2330,tt0152930,['FR'],fr,Taxi,"In Marseilles (France), skilled pizza delivery boy Daniel who drives a scooter finally has his dreams come true. He gets a taxi license. Caught by the police for a huge speed infraction, he will help Emilien, a loser inspector who can't drive, on the track of German bank robbers, so he doesn't lose his license and his dream job.",22.516,/egBxj3ude84theXc3cLbBHrWOkQ.jpg,"[{'id': 6896, 'logo_path': '/2Q89KvzxTKB5BAv9RqFIPI1qb7E.png', 'name': 'EuropaCorp', 'origin_country': 'FR'}, {'id': 189, 'logo_path': '/3NcJ66KlMs1s6yOh0AMSLMvhtSV.png', 'name': 'ARP Sélection', 'origin_country': 'FR'}, {'id': 1074, 'logo_path': None, 'name': 'Cofimage 9', 'origin_country': ''}, {'id': 79076, 'logo_path': None, 'name': 'Studio Image 4', 'origin_country': ''}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}, {'id': 356, 'logo_path': '/9tW5wZEGotn1Ei5pErA88m47XiD.png', 'name': 'TF1 Films Production', 'origin_country': 'FR'}, {'id': 7799, 'logo_path': None, 'name': 'TF1 International', 'origin_country': 'FR'}, {'id': 694, 'logo_path': '/5LEHONGkZBIoWvp1ygHOF8iyi1M.png', 'name': 'StudioCanal', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1998-04-08,44500000,86,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,Taxi,False,6.7,2455,211721.0,Taxi Collection,/nCzy28TbMJDJLxuaPgQZrLgmuT7.jpg,/74R8bq4RDuxK3F0VPGlse4YH3Ab.jpg
17,False,/kszooR7v1TLFM4pzx6IkKq2jDAN.jpg,,6700000,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}]",https://www.anatomyofafall.film/,915935,tt17009710,['FR'],fr,Anatomie d'une chute,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the sole witness.",46.45,/kQs6keheMwCxJxrzV83VUwFtHkB.jpg,"[{'id': 58568, 'logo_path': '/2qxPHPKa29w2MsaPKpYRfBnQcyq.png', 'name': 'Les Films de Pierre', 'origin_country': 'FR'}, {'id': 12389, 'logo_path': '/6yilbEvoHtPcTb4LwAueAq091iT.png', 'name': 'Les Films Pelléas', 'origin_country': 'FR'}, {'id': 83, 'logo_path': '/9OQ0rm55xtlgX7KcAKMUePJSrQc.png', 'name': 'France 2 Cinéma', 'origin_country': 'FR'}, {'id': 109756, 'logo_path': '/sudlIoNIIrKmVWaYD2ZVo9HGogW.png', 'name': 'Auvergne-Rhône-Alpes Cinéma', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2023-08-23,35634133,151,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Did she do it?,Anatomy of a Fall,False,7.6,2441,,,,
18,False,/sBmLZreEkVK3bc6LLEyZFgKuxjk.jpg,,11000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.bienvenuechezleschtis-lefilm.com/,8265,tt1064932,['FR'],fr,Bienvenue chez les Ch'tis,"Although living a comfortable life in Salon-de-Provence, a charming town in the South of France, Julie has been feeling depressed for a while. To please her, Philippe Abrams, a post office administrator, her husband, tries to obtain a transfer to a seaside town, on the French Riviera, at any cost. The trouble is that he is caught red-handed while trying to scam an inspector. Philippe is immediately banished to the distant unheard of town of Bergues, in the Far North of France...",15.088,/cnUkc60SkI1PCY1SyfLFpZc0T7C.jpg,"[{'id': 356, 'logo_path': '/9tW5wZEGotn1Ei5pErA88m47XiD.png', 'name': 'TF1 Films Production', 'origin_country': 'FR'}, {'id': 2355, 'logo_path': None, 'name': 'Hirsch', 'origin_country': ''}, {'id': 11544, 'logo_path': None, 'name': 'Les Productions du Chicon', 'origin_country': ''}, {'id': 310, 'logo_path': '/4Gp5A4YdjPBfsHT47ngHMaXWmb9.png', 'name': 'CNC', 'origin_country': 'FR'}, {'id': 11545, 'logo_path': None, 'name': 'Centre Régional des Ressources Audiovisuelles (CRRAV)', 'origin_country': ''}, {'id': 6301, 'logo_path': '/jma8ZaHq1KAzlXW3v0RswVOWSdn.png', 'name': 'CinéCinéma', 'origin_country': 'FR'}, {'id': 11434, 'logo_path': None, 'name': 'Région Nord-Pas-de-Calais', 'origin_country': ''}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}, {'id': 7981, 'logo_path': '/6Yv1gIAuGkHS5Vis4UjnqHhCPWV.png', 'name': 'Pathé', 'origin_country': 'FR'}, {'id': 82, 'logo_path': None, 'name': 'Renn Productions', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2008-02-20,245144417,106,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Welcome to the Sticks,False,6.679,2410,,,,
19,False,/vcPCnRQSsZaCJJ9q75u7dWCh3c2.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",http://www.pathedistribution.com/accueil/filmcatalogue.php?IDFilm=498,5528,tt0372824,"['FR', 'DE', 'CH']",fr,Les Choristes,"In 1940s France, a new teacher at a school for disruptive boys gives hope and inspiration.",18.935,/hUl7gSvkGygyk9wt3zy5NqpC5bb.jpg,"[{'id': 793, 'logo_path': '/10DhIXAmAixQvBOsjZ1MOeSRyUC.png', 'name': 'Galatée Films', 'origin_country': 'FR'}, {'id': 83, 'logo_path': '/9OQ0rm55xtlgX7KcAKMUePJSrQc.png', 'name': 'France 2 Cinéma', 'origin_country': 'FR'}, {'id': 1168, 'logo_path': None, 'name': 'Novo Arturo Films', 'origin_country': 'FR'}, {'id': 8138, 'logo_path': '/4P6c8TiJZhL2z7b0LbPOUTZwP4z.png', 'name': 'Vega Film', 'origin_country': 'CH'}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}, {'id': 5521, 'logo_path': None, 'name': 'CP Medien', 'origin_country': 'DE'}, {'id': 82, 'logo_path': None, 'name': 'Renn Productions', 'origin_country': 'FR'}, {'id': 7981, 'logo_path': '/6Yv1gIAuGkHS5Vis4UjnqHhCPWV.png', 'name': 'Pathé', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}]",2004-03-17,0,97,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Chorus,False,7.726,2401,,,,
